rssi,lna_gain,vga_gain,pulse_index
0.025845492,0,24,7
0.026138127,0,24,8
0.029497532,0,24,9
0.08994012,0,32,0
0.07829749,0,32,1
0.077494726,0,32,2
0.07783005,0,32,3
0.078519344,0,32,4
0.0729627,0,32,5
0.081294365,0,32,6
0.0821921,0,32,7
0.08417485,0,32,8
0.08033487,0,32,9
0.078051426,0,32,10
0.07874876,0,32,11
0.080249004,0,32,12
0.20874184,10,32,0
0.12676376,10,32,1
0.11037872,10,32,2
0.11744778,10,32,3
0.11695102,10,32,4
0.2552624,10,32,5
0.27170834,10,32,6
0.23955639,10,32,7
0.26033396,10,32,8
0.29205462,10,32,9
0.2854755,10,32,10
0.2786546,10,32,11
0.2858732,10,32,12
0.28713173,10,32,13
0.26517308,10,32,14
0.25763443,10,32,15
0.26163825,10,32,16
0.25752777,10,32,17
0.25654855,10,32,18
0.26226637,10,32,19
0.2663677,10,32,20
0.27199924,10,32,21
0.28409913,10,32,22
0.2815097,10,32,23
0.7628118,20,32,0
0.5303921,20,32,1
0.39110315,20,32,2
0.38789892,20,32,3
0.39417526,20,32,4
0.40461218,20,32,5
0.4606256,20,32,6
0.4516462,20,32,7
0.4361127,20,32,8
0.43614846,20,32,9
0.46661806,20,32,10
0.4694623,20,32,11
0.7201673,20,32,12
0.73701566,20,32,13
0.72638834,20,32,14
0.71947664,20,32,15
0.69544464,20,32,16
0.6943171,20,32,17
0.6885389,20,32,18
0.65796363,20,32,19
0.67811483,20,32,20
0.7195656,20,32,21
0.705175,20,32,22
1.2012827,30,32,0
1.1977168,30,32,1
1.088128,30,32,2
1.1703881,30,32,3
1.1697394,30,32,4
1.1613165,30,32,5
1.1515756,30,32,6
1.1140195,30,32,7
1.11963,30,32,8
1.1560364,30,32,9
1.1740924,30,32,10
1.1766653,30,32,11
1.1793715,30,32,12
1.1825945,30,32,13
1.1853527,30,32,14
1.1775552,30,32,15
1.1680485,30,32,16
1.1442505,30,32,17
1.1447699,30,32,18
1.1735562,30,32,19
1.2284002,30,32,20
1.2304441,30,32,21
1.2276623,30,32,22
1.2268316,30,32,23
1.2253242,30,32,24
1.1916369,40,32,0
1.2474494,40,32,1
1.2480888,40,32,2
1.2545971,40,32,3
1.2568536,40,32,4
1.259664,40,32,5
1.2616905,40,32,6
1.2570972,40,32,7
1.2441019,40,32,8
1.2288202,40,32,9
1.2276428,40,32,10
1.2413175,40,32,11
1.2553697,40,32,12
1.260667,40,32,13
1.2592888,40,32,14
1.2592479,40,32,15
1.2582737,40,32,16
1.2508922,40,32,17
1.2319647,40,32,18
0.18590781,0,40,0
0.15431856,0,40,1
0.18982431,0,40,2
0.16032402,0,40,3
0.14918481,0,40,4
0.1469086,0,40,5
0.16047171,0,40,6
0.15385377,0,40,7
0.1621456,0,40,8
0.20031579,0,40,9
0.19675305,0,40,10
0.19642243,0,40,11
0.18462516,0,40,12
0.004523415,0,8,0
0.004079465,0,8,1
0.0043699834,0,8,2
0.004108525,0,8,3
0.0040218555,0,8,4
0.0043737725,0,8,5
0.004157587,0,8,6
0.004342014,0,8,7
0.0043348633,0,8,8
0.0039887736,0,8,9
