2017-02-14T00:21:29.872858510+10:30 INFO hackrf_task - Starting test task
2017-02-14T00:21:29.873725930+10:30 INFO hackrf_task - Running test
2017-02-14T00:21:29.874305380+10:30 INFO pulse_manager - Starting pulse manager
2017-02-14T00:22:06.893561733+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 8.529272, gain: 0, timestamp: Timestamp { seconds: 1486993926, nanos: 889968219 } }
2017-02-14T00:22:06.893777901+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: 3.4000454, gain: 0, timestamp: Timestamp { seconds: 1486993926, nanos: 889968219 } }
2017-02-14T00:22:06.893890643+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -9.18206, gain: 0, timestamp: Timestamp { seconds: 1486993926, nanos: 889968219 } }
2017-02-14T00:22:07.895347092+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 15.719385, gain: 0, timestamp: Timestamp { seconds: 1486993927, nanos: 893607888 } }
2017-02-14T00:22:07.895517934+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: 0.09695864, gain: 0, timestamp: Timestamp { seconds: 1486993927, nanos: 893607888 } }
2017-02-14T00:22:07.895601992+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -13.78562, gain: 0, timestamp: Timestamp { seconds: 1486993927, nanos: 893607888 } }
2017-02-14T00:22:08.896975557+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 14.470266, gain: 0, timestamp: Timestamp { seconds: 1486993928, nanos: 895927783 } }
2017-02-14T00:22:08.897238658+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: -5.1931267, gain: 0, timestamp: Timestamp { seconds: 1486993928, nanos: 895927783 } }
2017-02-14T00:22:08.897341579+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -8.024275, gain: 0, timestamp: Timestamp { seconds: 1486993928, nanos: 895927783 } }
2017-02-14T00:22:09.898646128+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 6.0547214, gain: 0, timestamp: Timestamp { seconds: 1486993929, nanos: 897525094 } }
2017-02-14T00:22:09.898778795+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: 6.4163184, gain: 0, timestamp: Timestamp { seconds: 1486993929, nanos: 897525094 } }
2017-02-14T00:22:09.898819568+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -14.934034, gain: 0, timestamp: Timestamp { seconds: 1486993929, nanos: 897525094 } }
2017-02-14T00:22:10.900155677+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 2.9606848, gain: 0, timestamp: Timestamp { seconds: 1486993930, nanos: 898783155 } }
2017-02-14T00:22:10.900236926+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: 13.919729, gain: 0, timestamp: Timestamp { seconds: 1486993930, nanos: 898783155 } }
2017-02-14T00:22:10.900266702+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -17.599087, gain: 0, timestamp: Timestamp { seconds: 1486993930, nanos: 898783155 } }
2017-02-14T00:22:11.901126138+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 8.839762, gain: 0, timestamp: Timestamp { seconds: 1486993931, nanos: 900261635 } }
2017-02-14T00:22:11.901277910+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: 1.9951609, gain: 0, timestamp: Timestamp { seconds: 1486993931, nanos: 900261635 } }
2017-02-14T00:22:11.901307762+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -11.028519, gain: 0, timestamp: Timestamp { seconds: 1486993931, nanos: 900261635 } }
2017-02-14T00:22:12.902969364+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 8.908339, gain: 0, timestamp: Timestamp { seconds: 1486993932, nanos: 901612626 } }
2017-02-14T00:22:12.903045950+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: 0.35281646, gain: 0, timestamp: Timestamp { seconds: 1486993932, nanos: 901612626 } }
2017-02-14T00:22:12.903072450+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -9.226332, gain: 0, timestamp: Timestamp { seconds: 1486993932, nanos: 901612626 } }
2017-02-14T00:22:13.904471851+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 6.18912, gain: 0, timestamp: Timestamp { seconds: 1486993933, nanos: 903301490 } }
2017-02-14T00:22:13.904574519+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: -15.916186, gain: 0, timestamp: Timestamp { seconds: 1486993933, nanos: 903301490 } }
2017-02-14T00:22:13.904629734+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -21.306553, gain: 0, timestamp: Timestamp { seconds: 1486993933, nanos: 903301490 } }
2017-02-14T00:22:14.905499363+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 15.38718, gain: 0, timestamp: Timestamp { seconds: 1486993934, nanos: 904606637 } }
2017-02-14T00:22:14.905557071+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: 2.39947, gain: 0, timestamp: Timestamp { seconds: 1486993934, nanos: 904606637 } }
2017-02-14T00:22:14.905584287+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -15.642915, gain: 0, timestamp: Timestamp { seconds: 1486993934, nanos: 904606637 } }
2017-02-14T00:22:15.907829027+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 16.030476, gain: 0, timestamp: Timestamp { seconds: 1486993935, nanos: 905612049 } }
2017-02-14T00:22:15.908009909+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: 3.6267853, gain: 0, timestamp: Timestamp { seconds: 1486993935, nanos: 905612049 } }
2017-02-14T00:22:15.908046314+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -12.735137, gain: 0, timestamp: Timestamp { seconds: 1486993935, nanos: 905612049 } }
2017-02-14T00:22:16.911145821+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 10.132019, gain: 0, timestamp: Timestamp { seconds: 1486993936, nanos: 909782036 } }
2017-02-14T00:22:16.911442042+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: -3.8899865, gain: 0, timestamp: Timestamp { seconds: 1486993936, nanos: 909782036 } }
2017-02-14T00:22:16.911545337+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -9.065241, gain: 0, timestamp: Timestamp { seconds: 1486993936, nanos: 909782036 } }
2017-02-14T00:22:17.914120146+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 21.531506, gain: 0, timestamp: Timestamp { seconds: 1486993937, nanos: 911224555 } }
2017-02-14T00:22:17.914211798+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: 3.2376199, gain: 0, timestamp: Timestamp { seconds: 1486993937, nanos: 911224555 } }
2017-02-14T00:22:17.914235988+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -11.78495, gain: 0, timestamp: Timestamp { seconds: 1486993937, nanos: 911224555 } }
2017-02-14T00:22:18.914518049+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 5.933755, gain: 0, timestamp: Timestamp { seconds: 1486993938, nanos: 913045148 } }
2017-02-14T00:22:18.914628105+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: -4.9666023, gain: 0, timestamp: Timestamp { seconds: 1486993938, nanos: 913045148 } }
2017-02-14T00:22:18.914661292+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -10.961835, gain: 0, timestamp: Timestamp { seconds: 1486993938, nanos: 913045148 } }
2017-02-14T00:22:19.917553683+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 12.569176, gain: 0, timestamp: Timestamp { seconds: 1486993939, nanos: 914682051 } }
2017-02-14T00:22:19.918003066+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: 1.5459358, gain: 0, timestamp: Timestamp { seconds: 1486993939, nanos: 914682051 } }
2017-02-14T00:22:19.918142374+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -11.55497, gain: 0, timestamp: Timestamp { seconds: 1486993939, nanos: 914682051 } }
2017-02-14T00:22:20.918322911+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 18.2207, gain: 0, timestamp: Timestamp { seconds: 1486993940, nanos: 917533366 } }
2017-02-14T00:22:20.918439784+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: 6.4299846, gain: 0, timestamp: Timestamp { seconds: 1486993940, nanos: 917533366 } }
2017-02-14T00:22:20.918497721+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -14.970657, gain: 0, timestamp: Timestamp { seconds: 1486993940, nanos: 917533366 } }
2017-02-14T00:22:21.919277833+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 12.982003, gain: 0, timestamp: Timestamp { seconds: 1486993941, nanos: 918470629 } }
2017-02-14T00:22:21.919542601+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: 10.219973, gain: 0, timestamp: Timestamp { seconds: 1486993941, nanos: 918470629 } }
2017-02-14T00:22:21.919654636+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -18.816116, gain: 0, timestamp: Timestamp { seconds: 1486993941, nanos: 918470629 } }
2017-02-14T00:22:22.920427320+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 7.795203, gain: 0, timestamp: Timestamp { seconds: 1486993942, nanos: 919361663 } }
2017-02-14T00:22:22.920542487+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: 3.995022, gain: 0, timestamp: Timestamp { seconds: 1486993942, nanos: 919361663 } }
2017-02-14T00:22:22.920583190+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -19.31057, gain: 0, timestamp: Timestamp { seconds: 1486993942, nanos: 919361663 } }
2017-02-14T00:22:23.922696265+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 11.002852, gain: 0, timestamp: Timestamp { seconds: 1486993943, nanos: 921771976 } }
2017-02-14T00:22:23.922954636+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: 2.9052432, gain: 0, timestamp: Timestamp { seconds: 1486993943, nanos: 921771976 } }
2017-02-14T00:22:23.923028005+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -15.151224, gain: 0, timestamp: Timestamp { seconds: 1486993943, nanos: 921771976 } }
2017-02-14T00:22:24.924941308+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 14.592341, gain: 0, timestamp: Timestamp { seconds: 1486993944, nanos: 922773521 } }
2017-02-14T00:22:24.925084822+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: 0.38110578, gain: 0, timestamp: Timestamp { seconds: 1486993944, nanos: 922773521 } }
2017-02-14T00:22:24.925151208+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -8.039349, gain: 0, timestamp: Timestamp { seconds: 1486993944, nanos: 922773521 } }
2017-02-14T00:22:25.926248643+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 17.149834, gain: 0, timestamp: Timestamp { seconds: 1486993945, nanos: 925083267 } }
2017-02-14T00:22:25.926442301+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: -1.4790115, gain: 0, timestamp: Timestamp { seconds: 1486993945, nanos: 925083267 } }
2017-02-14T00:22:25.926520785+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -19.05821, gain: 0, timestamp: Timestamp { seconds: 1486993945, nanos: 925083267 } }
2017-02-14T00:22:26.929699337+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 12.870532, gain: 0, timestamp: Timestamp { seconds: 1486993946, nanos: 926325528 } }
2017-02-14T00:22:26.930029037+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: 8.393561, gain: 0, timestamp: Timestamp { seconds: 1486993946, nanos: 926325528 } }
2017-02-14T00:22:26.930145866+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -27.508104, gain: 0, timestamp: Timestamp { seconds: 1486993946, nanos: 926325528 } }
2017-02-14T00:22:27.927993621+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 20.882652, gain: 0, timestamp: Timestamp { seconds: 1486993947, nanos: 927254329 } }
2017-02-14T00:22:27.928066695+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: -3.2114644, gain: 0, timestamp: Timestamp { seconds: 1486993947, nanos: 927254329 } }
2017-02-14T00:22:27.928086887+10:30 INFO pulse_manager - Pulse { freq: 150, signal_strength: -6.2672367, gain: 0, timestamp: Timestamp { seconds: 1486993947, nanos: 927254329 } }
2017-02-14T00:22:28.929048842+10:30 INFO pulse_manager - Pulse { freq: 148, signal_strength: 21.10082, gain: 0, timestamp: Timestamp { seconds: 1486993948, nanos: 928191674 } }
2017-02-14T00:22:28.929261983+10:30 INFO pulse_manager - Pulse { freq: 152, signal_strength: 9.268369, gain: 0, timestamp: Timestamp { seconds: 1486993948, nanos: 928191674 } }
